Chapter,Name,Frequency
1,Tom Buchanan,28
1,Daisy Fay,26
1,Jordan Baker,21
1,Nick Carraway,10
1,Jay Gatsby,6
1,New York,6
1,West Egg,4
1,Chicago,3
1,East Egg,2
1,Long Island,1
2,Tom Buchanan,27
2,Myrtle Wilson,11
2,George Wilson,6
2,New York,6
2,Long Island,3
2,West Egg,2
2,Daisy Fay,1
2,Jay Gatsby,1
3,Jay Gatsby,22
3,Jordan Baker,21
3,New York,5
3,Long Island,2
3,Chicago,1
3,Daisy Fay,1
3,East Egg,1
3,Nick Carraway,1
3,West Egg,1
4,Jay Gatsby,29
4,Jordan Baker,14
4,Daisy Fay,12
4,Tom Buchanan,10
4,Chicago,4
4,New York,4
4,West Egg,3
4,East Egg,2
4,Meyer Wolfshiem,2
4,George Wilson,1
4,Long Island,1
5,Jay Gatsby,31
5,Daisy Fay,19
5,West Egg,3
5,Tom Buchanan,2
5,Jordan Baker,1
5,Meyer Wolfshiem,1
5,New York,1
6,Jay Gatsby,29
6,Daisy Fay,16
6,Tom Buchanan,13
6,Nick Carraway,4
6,Long Island,3
6,New York,3
6,West Egg,3
6,Jordan Baker,1
7,Tom Buchanan,72
7,Jay Gatsby,43
7,Daisy Fay,41
7,Jordan Baker,29
7,George Wilson,19
7,Nick Carraway,6
7,New York,5
7,Meyer Wolfshiem,4
7,Myrtle Wilson,4
7,West Egg,3
7,Chicago,2
7,Long Island,1
8,George Wilson,21
8,Daisy Fay,19
8,Jay Gatsby,17
8,Tom Buchanan,3
8,Myrtle Wilson,2
8,Jordan Baker,1
8,Long Island,1
8,Meyer Wolfshiem,1
8,West Egg,1
9,Jay Gatsby,22
9,Chicago,9
9,Daisy Fay,9
9,Meyer Wolfshiem,7
9,George Wilson,4
9,New York,4
9,Jordan Baker,3
9,Nick Carraway,3
9,Tom Buchanan,3
9,West Egg,3
9,East Egg,1
9,Myrtle Wilson,1
